  20670 10
  2.53422710e-03   4.28301546e-03  -2.00799623e-04   5.90155694e-04	   4.70936441e-03  -2.61114326e-03  -8.92684550e-04   1.46514909e-03	   7.67907306e-04  -2.72496074e-05
  1.30751934e-04  -2.77865392e-04  -1.47027341e-04   1.11874787e-04	  -3.18838798e-04  -2.83482482e-04   7.25068171e-06  -4.94959184e-04	   1.50976850e-03  -2.72281985e-04
  1.66671886e-02   1.27884430e-03   6.44933862e-03   3.53476876e-03	   1.88453779e-03   9.58800384e-04   4.23823508e-05  -2.84087526e-03	  -6.56472026e-04  -3.21107457e-05
  2.59867136e-03   4.32071506e-03  -1.95095809e-04   6.36815900e-04	   4.73112212e-03  -2.62056066e-03  -9.82297722e-04   1.37222542e-03	   7.49160069e-04  -2.53160760e-05
 0.00020331 -0.00047338 -0.00025842  0.00012857 -0.00030534 -0.00034468	  0.00011202 -0.0002867   0.00154876 -0.0002302 
  1.61798255e-02   1.57665694e-03   6.29707018e-03   3.41662004e-03	   1.74381413e-03   9.45781903e-04   1.44034687e-04  -2.61066336e-03	  -6.87286868e-04  -4.68421568e-05
  2.49534162e-03   4.16214792e-03  -2.97699351e-04   5.36123876e-04	   4.65839204e-03  -2.63717617e-03  -9.13985887e-04   1.49128821e-03	   5.82820375e-04   2.59483917e-05
 0.00027792 -0.00047024 -0.00020997  0.00014142 -0.00021761 -0.00037741	  0.00017826 -0.00012005  0.00162167 -0.00026335
  1.60101816e-02   1.68573572e-03   6.23212128e-03   3.33548323e-03	   1.70106590e-03   9.50075215e-04   2.03442206e-04  -2.52513358e-03	  -6.66593892e-04  -6.01496200e-05
  2.49707890e-03   4.13312290e-03  -3.24939941e-04   4.99238252e-04	   4.66263754e-03  -2.66273412e-03  -9.29388445e-04   1.53990174e-03	   5.70217140e-04  -7.54445970e-06
  2.62494607e-04  -5.15650102e-04  -1.98397723e-04   9.42428744e-05	  -2.88541573e-04  -3.72690785e-04   1.43705545e-04  -3.03270957e-04	   1.55454785e-03  -2.54085354e-04
  1.64070929e-02   1.54658368e-03   6.28884780e-03   3.46636532e-03	   1.80083607e-03   9.79719767e-04   1.16624368e-04  -2.64962651e-03	  -6.29867356e-04  -4.63265458e-06
  2.45881017e-03   3.96260347e-03  -2.24605089e-04   5.20736933e-04	   4.68252795e-03  -2.64964773e-03  -8.19034767e-04   1.59662247e-03	   7.20527046e-04   4.88936462e-05
  2.25865747e-04  -5.42273784e-04  -2.64990744e-04   1.00326678e-04	  -3.46673221e-04  -3.27213356e-04   5.71251491e-05  -3.66184432e-04	   1.52036090e-03  -2.05367621e-04
  1.63621939e-02   1.51582227e-03   6.32615367e-03   3.46652309e-03	   1.80732544e-03   9.47411452e-04   1.24753968e-04  -2.68268559e-03	  -6.86531143e-04  -4.16960132e-05
  2.55264887e-03   4.06889717e-03  -2.38591235e-04   5.60045256e-04	   4.67352351e-03  -2.62620274e-03  -9.26204641e-04   1.44388310e-03	   6.41765023e-04   3.58393806e-05
  1.13111339e-04  -3.49590329e-04  -3.40055323e-04   5.26309146e-05	  -2.81979144e-04  -2.87226996e-04   1.80389465e-04  -2.61910220e-04	   1.57960845e-03  -1.82687303e-04
  1.63173793e-02   1.15403943e-03   6.44279010e-03   3.44474989e-03	   1.87065764e-03   8.88038628e-04   8.79360301e-05  -2.80458998e-03	  -7.59759581e-04  -9.89222937e-05
  2.68051334e-03   4.25436062e-03  -2.99366753e-04   6.33760045e-04	   4.72700270e-03  -2.62503754e-03  -9.76467482e-04   1.35418297e-03	   6.48408149e-04  -2.66002755e-06
  1.56013322e-04  -4.86524249e-04  -3.57420512e-04   5.64752903e-05	  -2.95019686e-04  -3.18795364e-04   1.47556114e-04  -2.67631746e-04	   1.55259948e-03  -1.71610813e-04
  1.64164795e-02   1.22394059e-03   6.41150188e-03   3.46779079e-03	   1.87953469e-03   8.96436482e-04   9.05278813e-05  -2.77876034e-03	  -7.46399927e-04  -7.55180305e-05
  2.61281746e-03   4.24718732e-03  -2.90799613e-04   6.45211173e-04	   4.72620562e-03  -2.61363448e-03  -1.00242761e-03   1.35300800e-03	   6.73000544e-04   7.49870466e-06
  1.31504682e-04  -3.74091085e-04  -2.59948561e-04   4.43822431e-05	  -2.79621362e-04  -3.05616796e-04   1.10541362e-04  -3.71979925e-04	   1.56245000e-03  -2.09835565e-04
  1.64971646e-02   1.07592165e-03   6.49718146e-03   3.47017468e-03	   1.91417575e-03   8.83283316e-04   6.81734631e-05  -2.87458123e-03	  -7.69167557e-04  -9.06389992e-05
  2.69109453e-03   4.32118030e-03  -2.52026868e-04   6.75203503e-04	   4.75508154e-03  -2.63905996e-03  -1.04528871e-03   1.28867696e-03	   7.15586449e-04  -2.34034033e-05
  1.02780370e-04  -2.68818914e-04  -2.80280736e-04   5.16899197e-05	  -2.90668895e-04  -2.57750507e-04   1.23389985e-04  -3.37854655e-04	   1.58786103e-03  -1.99653206e-04
  1.63446538e-02   1.14063914e-03   6.47215606e-03   3.43856695e-03	   1.88424827e-03   8.78261822e-04   9.24949123e-05  -2.83014504e-03	  -7.85925341e-04  -1.09736376e-04
  2.74632328e-03   4.26977518e-03  -2.62138677e-04   6.56597653e-04	   4.73794844e-03  -2.63685610e-03  -1.02406374e-03   1.30352970e-03	   6.77225525e-04  -2.59728270e-05
